Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,91,4.9974,0.6441 ,4.6208 ,0.6559
2,86,5.0034,0.6439 ,4.8992 ,0.6472
3,86,4.9471,0.6457 ,5.0279 ,0.6432
4,86,5.0896,0.6412 ,4.8491 ,0.6487
5,86,4.9697,0.6450 ,4.8651 ,0.6483
6,88,5.0275,0.6432 ,4.7590 ,0.6516
7,86,4.9459,0.6457 ,4.8752 ,0.6479
8,86,4.9574,0.6454 ,4.8892 ,0.6475
9,86,5.0415,0.6427 ,4.8549 ,0.6486
10,86,4.9556,0.6454 ,4.9493 ,0.6456
11,87,5.0195,0.6434 ,4.7836 ,0.6508
12,86,4.9946,0.6442 ,4.9093 ,0.6469
13,87,5.0275,0.6432 ,4.8345 ,0.6492
14,86,4.9699,0.6450 ,4.8491 ,0.6487
15,86,4.9634,0.6452 ,4.7836 ,0.6508
16,86,5.0260,0.6432 ,4.8091 ,0.6500
17,86,5.0676,0.6419 ,4.8956 ,0.6473
18,86,4.9133,0.6467 ,4.8892 ,0.6475
19,86,4.9860,0.6445 ,4.8854 ,0.6476
20,88,4.9914,0.6443 ,4.7890 ,0.6506
21,87,5.0029,0.6440 ,4.9567 ,0.6454
22,86,5.0034,0.6439 ,4.7890 ,0.6506
23,87,5.0275,0.6432 ,4.8752 ,0.6479
24,86,4.9533,0.6455 ,5.0696 ,0.6419
25,88,4.9957,0.6442 ,4.9193 ,0.6466
26,86,4.9754,0.6448 ,4.9293 ,0.6462
27,87,4.9974,0.6441 ,4.8592 ,0.6484
28,86,4.9740,0.6449 ,4.8792 ,0.6478
29,86,5.0275,0.6432 ,4.9694 ,0.6450
30,87,5.0343,0.6430 ,4.8592 ,0.6484
