Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,12, 2.722, 0.7956, 2.5744, 0.800
2,10, 2.585, 0.8106, 2.5821, 0.789
3,98,2.3605,0.8095 ,2.5091 ,0.8006
4,13, 1.965, 0.8125, 2.4970, 0.799
5,90,1.9439,0.8187 ,2.4045 ,0.7981
6,83,1.9597,0.8218 ,2.5003 ,0.7938
7,84,2.0192,0.8248 ,2.3867 ,0.7721
8,81,1.9290,0.8269 ,2.3663 ,0.7925
9,88,1.9839,0.8277 ,2.4614 ,0.7971
10,11, 1.934, 0.8256, 2.4455, 0.800
11,11, 1.908, 0.8399, 2.4513, 0.767
12,87,1.8996,0.8421 ,2.2264 ,0.7872
13,10, 1.620, 0.8101, 1.3504, 0.799
14,85,1.3777,0.8302 ,1.7780 ,0.7959
15,82,1.4627,0.8360 ,1.7727 ,0.8019
16,93,1.4079,0.8381 ,1.8602 ,0.8022
17,12, 1.412, 0.8371, 1.7935, 0.805
18,98,0.9014,0.8471 ,1.5303 ,0.7106
19,90,0.9849,0.8246 ,1.6549 ,0.7908
20,88,0.7753,0.8477 ,1.2778 ,0.7994
21,92,0.7529,0.8575 ,1.5506 ,0.7981
22,87,1.1168,0.8387 ,1.6231 ,0.7966
23,88,0.8329,0.8442 ,1.8032 ,0.7965
24,87,0.7809,0.8500 ,1.6922 ,0.8066
25,86,0.7876,0.8479 ,1.8839 ,0.8102
26,90,0.7708,0.8538 ,1.9926 ,0.7938
27,87,0.7662,0.8593 ,2.0081 ,0.7860
28,89,0.7695,0.8590 ,1.9048 ,0.7628
29,87,0.7862,0.8639 ,1.9733 ,0.7933
30,86,0.7663,0.8672 ,2.0181 ,0.7884
