Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,91,1.8979,0.7825 ,1.5247 ,0.8000
2,61,1.6183,0.8031 ,1.3990 ,0.8102
3,59,1.5860,0.8172 ,1.2510 ,0.8041
4,60,0.9858,0.8300 ,1.2897 ,0.8019
5,53,0.9638,0.8427 ,1.2375 ,0.8019
6,52,0.9675,0.8440 ,1.4380 ,0.7978
7,57,1.1352,0.8313 ,1.3096 ,0.8022
8,54,0.9415,0.8440 ,1.2380 ,0.7928
9,53,0.9233,0.8442 ,1.3245 ,0.7898
10,53,0.9143,0.8455 ,1.2182 ,0.7894
11,53,0.9419,0.8406 ,1.2113 ,0.8137
12,60,0.8949,0.8478 ,1.5597 ,0.8247
13,53,0.9031,0.8496 ,1.4509 ,0.8146
14,54,0.8767,0.8561 ,1.6656 ,0.8063
15,54,0.8926,0.8541 ,1.8241 ,0.8140
16,54,0.8748,0.8553 ,1.7940 ,0.8038
17,53,0.8788,0.8554 ,1.7115 ,0.8175
18,54,0.9288,0.8474 ,1.5825 ,0.7997
19,54,0.8792,0.8567 ,1.5735 ,0.8175
20,53,0.8615,0.8617 ,1.7820 ,0.8109
21,53,0.8860,0.8574 ,1.7964 ,0.8041
22,55,0.9331,0.8595 ,1.6776 ,0.8088
23,57,0.8371,0.8678 ,1.8074 ,0.8229
24,53,0.8677,0.8667 ,1.7268 ,0.8144
25,53,1.3578,0.8260 ,1.7286 ,0.7790
26,53,0.3026,0.8584 ,1.5409 ,0.8075
27,52,0.2867,0.8701 ,1.5003 ,0.7800
28,53,0.2418,0.8788 ,1.4401 ,0.7522
29,52,0.2183,0.8858 ,1.2358 ,0.7533
30,53,0.2299,0.8867 ,1.4496 ,0.8038
