Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,57,5.3292,0.6338 ,5.0629 ,0.6421
2,57,5.3000,0.6347 ,4.8867 ,0.6476
3,57,5.3289,0.6338 ,5.0959 ,0.6411
4,58,5.3381,0.6335 ,5.1364 ,0.6398
5,18, 5.334, 0.6336, 5.0149, 0.643
6,13, 5.318, 0.6341, 5.0362, 0.642
7,11, 5.337, 0.6335, 4.9812, 0.644
8,63,5.2960,0.6348 ,5.0959 ,0.6411
9,63,5.3561,0.6329 ,5.0295 ,0.6431
10,59,5.3613,0.6328 ,5.0622 ,0.6421
11,60,5.3020,0.6346 ,5.0028 ,0.6440
12,60,5.3094,0.6344 ,5.0696 ,0.6419
13,63,5.3040,0.6346 ,5.0892 ,0.6413
14,59,5.3968,0.6317 ,5.0362 ,0.6429
15,65,5.3401,0.6334 ,5.0295 ,0.6431
16,23,: 5.27,: 0.635,: 5.041,: 0.64
17,10, 5.330, 0.6337, 5.0562, 0.642
18,90,5.3321,0.6337 ,5.0622 ,0.6421
19,57,5.3123,0.6343 ,5.0829 ,0.6415
20,57,5.3240,0.6339 ,5.0696 ,0.6419
21,57,5.3278,0.6338 ,4.9879 ,0.6444
22,58,5.3641,0.6327 ,5.1364 ,0.6398
23,57,5.3069,0.6345 ,4.9226 ,0.6465
24,57,5.3180,0.6341 ,5.1364 ,0.6398
25,56,5.3447,0.6333 ,5.0696 ,0.6419
26,57,5.3220,0.6340 ,5.0161 ,0.6435
27,56,5.3298,0.6338 ,5.0892 ,0.6413
28,57,5.3120,0.6343 ,5.0829 ,0.6415
29,57,5.3801,0.6322 ,5.0824 ,0.6415
30,57,5.2805,0.6353 ,5.0487 ,0.6425
