Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,62,3.4943,0.7684 ,3.2236 ,0.8000
2,60,3.3645,0.7584 ,2.6096 ,0.8115
3,63,2.7571,0.7921 ,2.3423 ,0.8000
4,61,2.2942,0.7761 ,1.4460 ,0.7598
5,63,1.7279,0.7896 ,1.5428 ,0.7388
6,63,1.7901,0.7903 ,3.9692 ,0.6373
7,63,4.0747,0.6446 ,3.6686 ,0.6558
8,63,5.2919,0.5287 ,3.7938 ,0.6475
9,64,3.9917,0.6459 ,3.6592 ,0.6491
10,64,3.9782,0.6483 ,3.7174 ,0.6573
11,64,3.9902,0.6496 ,5.8658 ,0.4873
12,60,4.8172,0.5832 ,3.7762 ,0.6337
13,60,4.1520,0.6275 ,3.8184 ,0.6473
14,60,4.6718,0.5669 ,3.4452 ,0.5931
15,60,5.5945,0.4695 ,4.1335 ,0.5423
16,61,3.5158,0.6316 ,3.5101 ,0.6512
17,60,3.5278,0.6318 ,3.2585 ,0.6600
18,60,5.0512,0.5222 ,5.7699 ,0.5192
19,61,5.8835,0.4914 ,6.0234 ,0.5069
20,61,4.8690,0.5429 ,3.0474 ,0.6629
21,60,3.8870,0.6100 ,8.8473 ,0.3255
22,60,9.1516,0.3125 ,8.5678 ,0.3338
23,60,9.1371,0.3150 ,8.6412 ,0.3308
24,60,9.1064,0.3168 ,8.8405 ,0.3248
25,60,9.0426,0.3183 ,8.8149 ,0.3260
26,62,8.2840,0.3858 ,7.0425 ,0.4848
27,60,6.7785,0.5123 ,5.2036 ,0.6366
28,60,4.9687,0.6342 ,5.2837 ,0.6331
29,61,6.4305,0.5384 ,7.1302 ,0.4819
30,61,6.7345,0.5111 ,5.3323 ,0.6091
