Epoch,Tempo de duração de cada época,loss,acc,val_loss,val_acc
1,29, 1.688, 0.8000, 1.7927, 0.800
2,26, 1.563, 0.8000, 1.6342, 0.800
3,27, 1.565, 0.8000, 1.8720, 0.800
4,26, 1.560, 0.8000, 1.7701, 0.800
5,26, 1.617, 0.8000, 1.7771, 0.800
6,25, 1.584, 0.8000, 1.7985, 0.800
7,27, 1.518, 0.8001, 1.7691, 0.813
8,27, 1.544, 0.7988, 1.8059, 0.796
9,26, 1.542, 0.7971, 1.7252, 0.800
10,26, 1.578, 0.7976, 1.8278, 0.797
11,25, 1.520, 0.7979, 1.8835, 0.796
12,25, 1.530, 0.7983, 1.7262, 0.808
13,22, 1.537, 0.7984, 1.7277, 0.806
14,22, 1.502, 0.8021, 1.7336, 0.810
15,22, 1.556, 0.8004, 1.7646, 0.810
16,22, 1.515, 0.8008, 1.7767, 0.812
17,22, 1.549, 0.8033, 1.6954, 0.808
18,22, 1.535, 0.8005, 1.6834, 0.807
19,22, 1.522, 0.8017, 1.7554, 0.809
20,22, 1.526, 0.8047, 1.6975, 0.810
21,22, 1.511, 0.8043, 1.8022, 0.810
22,22, 1.539, 0.8073, 1.7487, 0.809
23,22, 1.489, 0.8094, 1.6702, 0.810
24,22, 1.530, 0.8078, 1.8377, 0.805
25,23, 1.520, 0.8078, 1.7990, 0.811
26,22, 1.527, 0.8087, 1.7163, 0.807
27,23, 1.498, 0.8093, 1.6577, 0.810
28,23, 1.545, 0.8083, 1.7895, 0.812
29,22, 1.482, 0.8124, 1.8036, 0.801
30,22, 1.525, 0.8098, 1.7295, 0.803
