;Medida;1;2;3;4;5;6;7;8;9;10
Anel 14;Diâmetro (mm);20.15;20.25;20.05;20.30;20.05;20.00;20.15;20.25;20.30;20.00
;Massa (g);1.14;1.15;1.16;1.15;1.15;1.14;1.16;1.14;1.15;1.14
;Comprimento (mm);30.88347032;30.07781457;30.34636649;30.34636649;30.34636649;30.34636649;30.07781457;30.34636649;30.07781457;30.34636649
Anel 3;Diâmetro (mm);19.95;19.70;19.45;19.60;19.80;19.65;19.85;19.80;19.55;19.85
;Massa (g);1.12;1.14;1.13;1.13;1.13;1.12;1.12;1.14;1.13;1.13
;Comprimento (mm);30.07781457;30.07781457;30.07781457;30.07781457;29.80926266;30.07781457;30.07781457;29.54071074;29.80926266;29.54071074
Anel 10;Diâmetro (mm);20.10;20.10;20.00;19.80;20.10;20.05;20.10;20.00;19.95;19.70
;Massa (g);1.12;1.12;1.12;1.13;1.13;1.12;1.12;1.11;1.10;1.12
;Comprimento (mm);30.88347032;30.88347032;31.15202224;30.88347032;31.15202224;31.15202224;31.15202224;30.88347032;30.88347032;31.42057415
Anel 7;Diâmetro (mm);19.70;19.90;20.00;19.45;19.60;19.40;19.75;19.80;19.65;19.60
;Massa (g);1.13;1.13;1.13;1.12;1.12;1.13;1.11;1.12;1.11;1.12
;Comprimento (mm);30.34636649;30.34636649;30.34636649;30.07781457;30.07781457;30.34636649;29.80926266;30.07781457;29.80926266;30.07781457
