Anel,Medida,1º Quartil,Mediana,Média,3º Quartil,Interquartil,Curtose
15,Diâmetro (mm),19.1,19.3,19.300000000000004,19.4625,0.36249999999999716,0.6998356619352677
15,Massa (g),1.1225,1.13,1.129,1.13,0.00749999999999984,3.613286524439732
15,Comprimento (mm),30.14495255,30.34636649,30.319511297000002,30.34636649,0.2014139400000019,3.6132864119018615
4,Diâmetro (mm),20.05,20.25,20.175,20.25,0.1999999999999993,-1.1211869030625747
4,Massa (g),1.11,1.12,1.114,1.12,0.010000000000000009,-0.665457589285714
4,Comprimento (mm),29.80926266,30.07781457,29.916683422,30.07781457,0.26855190999999934,-0.6654575314278519
11,Diâmetro (mm),20.5,20.55,20.555,20.6,0.10000000000000142,0.43839758125464634
11,Massa (g),1.15,1.1549999999999998,1.1560000000000001,1.16,0.010000000000000009,-0.14610389610389607
11,Comprimento (mm),30.88347032,31.01774628,31.044601471000004,31.15202224,0.26855192000000017,-0.1461040444793591
7,Diâmetro (mm),19.6,19.674999999999997,19.685000000000002,19.7875,0.1875,-0.43858117895249205
7,Massa (g),1.12,1.12,1.1219999999999999,1.13,0.009999999999999787,-1.0741618075801833
7,Comprimento (mm),30.07781457,30.07781457,30.131524956,30.34636649,0.26855192000000017,-1.0741618651568001
